trip_id,driver_id,start_time,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,fare_amount,hour,dist_km
TRIP-06301,DRV-062,2024-06-14 19:45:29.159000+00:00,17.11857,76.219928,17.046669,76.236358,15.67,19,8.183527575440097
TRIP-30961,DRV-066,2024-06-28 20:21:36.769000+00:00,17.066729,76.242671,16.972223,76.225002,20.69,20,10.6751944774645
TRIP-35030,DRV-100,2024-06-23 18:23:58.354000+00:00,16.981042,76.318114,17.066841,76.407664,27.54,18,13.478597002112645
TRIP-37073,DRV-089,2024-06-05 20:07:59.086000+00:00,17.029725,76.238078,16.966692,76.18357,17.03,20,9.095145241448646
TRIP-13668,DRV-003,2024-06-01 18:46:10.177000+00:00,17.051158,76.163244,16.991478,76.081578,16.65,18,10.928569729118225
TRIP-44410,DRV-081,2024-06-01 20:59:36.060000+00:00,17.1247,76.245339,17.173313,76.172142,22.42,20,9.471308892624846
TRIP-15182,DRV-093,2024-06-18 19:41:26.901000+00:00,17.074992,76.266344,17.143798,76.282346,14.89,19,7.837599292377143
TRIP-45570,DRV-073,2024-06-20 19:27:32.440000+00:00,17.010844,76.24283,17.095358,76.233642,21.51,19,9.44815082802963
TRIP-01251,DRV-031,2024-06-23 20:13:50.570000+00:00,16.958623,76.219375,16.952723,76.316389,22.43,20,10.339375286274315
TRIP-49248,DRV-007,2024-06-18 18:52:22.661000+00:00,16.99695,76.154208,16.955449,76.099545,14.17,18,7.422332955158091
TRIP-31628,DRV-086,2024-06-07 17:18:50.109000+00:00,17.045306,76.251052,17.083288,76.335255,22.23,17,9.897126981219412
TRIP-03570,DRV-093,2024-06-27 20:00:36.971000+00:00,17.089549,76.188334,17.067536,76.271665,20.45,20,9.189376008421007
TRIP-47166,DRV-087,2024-06-16 20:49:39.872000+00:00,17.135809,76.259158,17.091111,76.192925,17.21,20,8.616609142996953
TRIP-35572,DRV-001,2024-06-29 17:31:39.627000+00:00,17.03975,76.228298,16.964239,76.231242,16.62,17,8.402273923181347
TRIP-39955,DRV-041,2024-06-03 19:32:32.741000+00:00,17.030461,76.279458,17.09559,76.259335,17.53,19,7.551320974578893
TRIP-48646,DRV-073,2024-06-07 17:20:59.242000+00:00,17.056393,76.324819,17.137727,76.357405,23.67,17,9.68436338768339
TRIP-43384,DRV-071,2024-06-08 19:08:25.056000+00:00,16.987411,76.178917,16.958393,76.316602,28.56,19,14.994309718228793
TRIP-37836,DRV-063,2024-06-07 17:39:28.549000+00:00,17.038032,76.213101,17.104677,76.246528,18.81,17,8.218371046843924
TRIP-10694,DRV-039,2024-06-06 20:24:08.470000+00:00,17.078176,76.302915,17.022733,76.371523,18.44,20,9.550017911970151
TRIP-24559,DRV-017,2024-06-10 19:32:38.558000+00:00,16.956645,76.190822,16.947379,76.107542,21.55,19,8.917667664957897
TRIP-45844,DRV-051,2024-06-06 17:11:37.463000+00:00,17.032293,76.260623,16.996269,76.355468,22.33,17,10.851106769263303
TRIP-13728,DRV-029,2024-06-28 20:57:33.916000+00:00,17.114636,76.171523,17.13215,76.241261,17.38,20,7.662391317360428
TRIP-49525,DRV-021,2024-06-13 19:09:18.600000+00:00,17.109858,76.232107,17.021226,76.265666,19.57,19,10.481174162966576
TRIP-36916,DRV-019,2024-06-05 17:12:36.653000+00:00,17.024243,76.180243,17.121,76.15604,24.83,17,11.062197810443818
TRIP-20608,DRV-083,2024-06-05 18:33:10.274000+00:00,17.021455,76.287234,17.098272,76.323951,20.1,18,9.391173551157374
TRIP-32993,DRV-068,2024-06-22 20:05:56.583000+00:00,17.052323,76.332552,17.001104,76.376613,17.29,20,7.374412168816092
TRIP-18165,DRV-011,2024-06-14 19:29:06.751000+00:00,17.036451,76.290219,17.128438,76.292151,24.42,19,10.230548861683936
TRIP-46626,DRV-006,2024-06-23 18:47:50.834000+00:00,16.97692,76.250852,16.957881,76.315084,13.37,18,7.151891992748166
TRIP-19568,DRV-022,2024-06-10 19:38:30.429000+00:00,17.141876,76.170672,17.086969,76.224418,19.56,19,8.360536234250041
TRIP-02957,DRV-067,2024-06-04 17:53:12.859000+00:00,17.121148,76.330995,17.150931,76.263436,15.98,17,7.905802259657207
TRIP-24497,DRV-011,2024-06-27 20:20:31.428000+00:00,17.084345,76.20227,17.108288,76.272192,18.21,20,7.893916410675564
TRIP-21159,DRV-090,2024-06-04 19:39:42.913000+00:00,16.974131,76.318152,17.047058,76.33556,18.59,19,8.317685480696081
TRIP-12195,DRV-006,2024-06-10 17:51:35.999000+00:00,16.98966,76.218921,17.001971,76.334587,19.68,17,12.37570520732432
TRIP-43693,DRV-023,2024-06-18 18:34:45.910000+00:00,17.06925,76.243619,17.008217,76.208979,18.85,18,7.72138967860538
TRIP-07721,DRV-070,2024-06-03 20:56:43.690000+00:00,17.090639,76.292427,17.103464,76.391417,20.63,20,10.616969063826916
